YEAR,MONTH,DAY,DAY_OF_WEEK,AIRLINE,FLIGHT_NUMBER,TAIL_NUMBER,ORIGIN_AIRPORT,DESTINATION_AIRPORT,SCHEDULED_DEPARTURE,DEPARTURE_TIME,DEPARTURE_DELAY,TAXI_OUT,WHEELS_OFF,SCHEDULED_TIME,ELAPSED_TIME,AIR_TIME,DISTANCE,WHEELS_ON,TAXI_IN,SCHEDULED_ARRIVAL,ARRIVAL_TIME,ARRIVAL_DELAY,DIVERTED,CANCELLED,CANCELLATION_REASON,AIR_SYSTEM_DELAY,SECURITY_DELAY,AIRLINE_DELAY,LATE_AIRCRAFT_DELAY,WEATHER_DELAY
2015,10,13,2,UA,275,N450XX,JFK,MIA,1117,1112,-5,28,1140,52,86,41,207,1221,17,1209,1238,-13,0,0,,,,,,
2015,8,31,1,HA,4310,N307XX,JFK,LAX,1619,1619,0,18,1637,361,367,332,2731,2209,17,2220,2226,4,0,0,,,,,,
2015,9,14,1,HA,9330,N648XX,DFW,ATL,1945,1943,-2,37,2020,66,83,36,288,2056,10,2051,2106,-2,0,0,,,,,,
2015,8,25,2,HA,8282,N353XX,IAH,DFW,1129,1133,4,26,1159,186,199,168,1299,1447,5,1435,1452,10,0,0,,,,,,
2015,7,15,3,EV,6941,N964XX,LAS,ORD,2259,2259,0,34,2333,127,149,101,801,114,14,106,128,-1,0,0,,,,,,
2015,11,6,5,WN,4463,N916XX,ORD,SFO,933,935,2,13,948,238,242,212,1638,1320,17,1331,1337,4,0,0,,,,,,
2015,12,16,3,NK,6991,N184XX,MIA,SFO,2059,2104,5,16,2120,315,325,297,2253,217,12,214,229,1,0,0,,,,,,
2015,10,29,4,F9,8796,N795XX,LAS,IAH,2054,2044,-10,21,2105,132,143,108,852,2253,14,2306,2307,-11,0,0,,,,,,
2015,5,1,5,OO,399,N682XX,JFK,SFO,543,547,4,35,622,318,357,306,2376,1128,16,1101,1144,7,0,0,,,,,,
2015,5,14,4,US,3117,N598XX,JFK,LAS,1636,1637,1,40,1717,119,155,98,736,1855,17,1835,1912,-4,0,0,,,,,,
2015,6,4,4,EV,5031,N773XX,MCO,SFO,1559,1601,2,14,1615,268,281,248,1890,2023,19,2027,2042,7,0,0,,,,,,
2015,6,3,3,AS,8347,N727XX,MIA,SFO,1000,1005,5,14,1019,347,361,327,2527,1546,20,1547,1606,13,0,0,,,,,,
2015,12,11,5,HA,8627,N738XX,MCO,ATL,549,554,5,29,623,391,403,364,2935,1227,10,1220,1237,0,0,0,,,,,,
2015,3,18,3,AS,7953,N433XX,PHX,CLT,2144,2134,-10,30,2204,258,266,229,1778,153,7,202,200,-6,0,0,,,,,,
2015,11,6,5,HA,9322,N908XX,SEA,SFO,2052,2053,1,35,2128,72,88,46,392,2214,7,2204,2221,4,0,0,,,,,,
2015,4,13,1,UA,749,N977XX,SEA,PHX,1359,1356,-3,20,1416,344,360,322,2475,1938,18,1943,1956,3,0,0,,,,,,
2015,3,22,7,EV,445,N142XX,MCO,MIA,1351,1356,5,20,1416,200,202,174,1306,1710,8,1711,1718,1,0,0,,,,,,
2015,9,23,3,US,5600,N385XX,PHX,ATL,1114,1114,0,37,1151,225,244,199,1601,1510,8,1459,1518,10,0,0,,,,,,
2015,12,17,4,F9,4544,N245XX,CLT,SFO,750,851,61,20,911,362,357,332,2581,1443,5,1352,1448,59,0,0,,0.0,0.0,0.0,59.0,0.0
2015,5,10,7,US,3371,N907XX,MIA,DEN,1256,1250,-6,38,1328,189,219,173,1263,1621,8,1605,1629,-7,0,0,,,,,,
2015,9,18,5,F9,2667,N234XX,PHX,SFO,2022,2027,5,38,2105,316,341,291,2214,156,12,138,208,15,0,0,,,,,,
2015,10,17,6,EV,3133,N912XX,DEN,IAH,1954,1945,-9,40,2025,57,96,46,224,2111,10,2051,2121,-5,0,0,,,,,,
2015,8,14,5,WN,3043,N945XX,JFK,ORD,1352,1347,-5,14,1401,190,191,171,1343,1652,6,1702,1658,-4,0,0,,,,,,
2015,12,22,2,NK,4344,N459XX,CLT,JFK,1915,1920,5,24,1944,177,194,164,1241,2228,6,2212,2234,3,0,0,,,,,,
2015,12,17,4,WN,6515,N447XX,LAS,ORD,1428,1421,-7,20,1441,192,211,181,1286,1742,10,1740,1752,-15,0,0,,,,,,
2015,9,2,3,NK,6776,N432XX,DFW,SEA,1839,1833,-6,19,1852,139,139,114,922,2046,6,2058,2052,-10,0,0,,,,,,
2015,10,28,3,HA,423,N363XX,ATL,MCO,1254,1255,1,38,1333,335,370,325,2519,1858,7,1829,1905,9,0,0,,,,,,
2015,6,1,1,F9,5359,N996XX,ATL,SFO,2223,2228,5,13,2241,121,137,106,687,27,18,24,45,12,1,0,,,,,,
2015,6,2,2,NK,447,N638XX,CLT,ATL,642,642,0,30,712,316,333,287,2349,1159,16,1158,1215,-5,0,0,,,,,,
2015,10,16,5,OO,6334,N186XX,MIA,LAS,1509,1514,5,39,1553,111,154,98,734,1731,17,1700,1748,7,0,0,,,,,,
2015,9,29,2,US,2784,N995XX,DFW,MCO,944,952,8,23,1015,236,258,220,1672,1355,15,1340,1410,15,0,0,,,,,,
2015,4,28,2,DL,4480,N104XX,IAH,CLT,2133,2155,22,19,2214,280,286,258,2041,232,9,213,241,20,0,0,,0.0,0.0,0.0,20.0,0.0
2015,5,9,6,F9,2870,N203XX,JFK,DEN,1429,1428,-1,40,1508,266,305,250,1899,1918,15,1855,1933,-7,0,0,,,,,,
2015,2,3,2,F9,1543,N454XX,SFO,IAH,2321,2325,4,26,2351,207,234,192,1473,303,16,248,319,4,0,0,,,,,,
2015,10,2,5,WN,9275,N568XX,LAS,ORD,1844,1848,4,17,1905,264,260,238,1890,2303,5,2308,2308,0,0,0,,,,,,
2015,4,14,2,B6,9838,N358XX,JFK,ORD,1810,1800,-10,38,1838,84,111,60,462,1938,13,1934,1951,-14,0,0,,,,,,
2015,1,13,2,US,8490,N761XX,PHX,MIA,1606,1559,-7,19,1618,302,323,287,2248,2105,17,2108,2122,-10,0,0,,,,,,
2015,6,15,1,AS,6980,N655XX,IAH,SFO,1707,1703,-4,35,1738,210,229,183,1505,2041,11,2037,2052,-4,0,0,,,,,,
2015,2,26,4,AA,8424,N718XX,PHX,MCO,1119,1135,16,21,1156,308,329,295,2264,1651,13,1627,1704,10,0,0,,,,,,
2015,12,26,6,AS,1473,N535XX,ATL,DEN,612,617,5,36,653,92,118,63,472,756,19,744,815,-5,0,0,,,,,,
2015,2,6,5,WN,5660,N752XX,LAS,MCO,1018,1020,2,18,1038,313,326,288,2202,1526,20,1531,1546,-4,0,0,,,,,,
2015,5,26,2,MQ,6692,N533XX,MCO,ATL,543,541,-2,16,557,186,201,166,1268,843,19,849,902,6,0,0,,,,,,
2015,4,21,2,MQ,3417,N407XX,CLT,DEN,1128,1123,-5,14,1137,334,340,318,2451,1655,8,1702,1703,1,0,0,,,,,,
2015,11,1,7,MQ,2991,N747XX,DFW,MCO,2108,2102,-6,15,2117,396,400,379,2942,336,6,344,342,1,0,0,,,,,,
2015,9,3,4,UA,141,N444XX,LAS,JFK,1123,1127,4,37,1204,204,225,178,1377,1502,10,1447,1512,-4,0,0,,,,,,
2015,1,7,3,WN,3411,N844XX,CLT,SFO,1038,1037,-1,31,1108,210,219,183,1363,1411,5,1408,1416,4,0,0,,,,,,
2015,12,16,3,F9,2867,N342XX,IAH,LAS,2055,2102,7,19,2121,359,357,329,2584,250,9,254,259,2,0,0,,,,,,
2015,12,6,7,US,1572,N933XX,IAH,PHX,1415,1433,18,12,1445,164,162,141,994,1706,9,1659,1715,19,0,0,,0.0,0.0,0.0,19.0,0.0
2015,10,10,6,DL,1366,N983XX,LAX,DFW,645,642,-3,29,711,349,373,335,2516,1246,9,1234,1255,-4,0,0,,,,,,
2015,5,27,3,AA,8581,N112XX,DEN,DFW,2305,2255,-10,38,2333,141,177,123,938,136,16,126,152,-13,0,0,,,,,,
2015,2,19,4,NK,5185,N904XX,ATL,DFW,2309,2325,16,37,2,170,193,145,1084,227,11,159,238,19,0,0,,0.0,0.0,0.0,19.0,0.0
2015,9,20,7,AA,1236,N652XX,JFK,SEA,1648,1648,0,32,1720,242,260,219,1739,2059,9,2050,2108,-10,0,0,,,,,,
2015,1,29,4,HA,7457,N540XX,SFO,DEN,1727,1732,5,19,1751,143,146,114,922,1945,13,1950,1958,-1,0,0,,,,,,
2015,2,27,5,AA,8571,N188XX,DEN,SFO,1507,1507,0,16,1523,200,219,186,1397,1829,17,1827,1846,-2,0,0,,,,,,
2015,7,9,4,WN,5269,N232XX,SFO,LAX,822,906,44,32,938,85,117,70,482,1048,15,947,1103,47,1,0,,0.0,0.0,0.0,2.0,45.0
2015,7,4,6,AS,284,N387XX,SEA,CLT,1025,1027,2,10,1037,156,162,142,1011,1259,10,1301,1309,7,0,0,,,,,,
2015,6,27,6,DL,8655,N652XX,DEN,IAH,1523,1514,-9,18,1532,357,372,344,2546,2116,10,2120,2126,-10,0,0,,,,,,
2015,10,4,7,AA,6264,N139XX,SFO,DFW,1258,1259,1,36,1335,93,118,73,587,1448,9,1431,1457,3,0,0,,,,,,
2015,9,12,6,HA,6909,N214XX,SEA,ORD,1036,1034,-2,10,1044,405,421,391,2981,1715,20,1721,1735,0,0,0,,,,,,
2015,12,24,4,UA,6454,N818XX,DFW,MCO,729,729,0,36,805,356,386,340,2574,1345,10,1325,1355,-2,0,0,,,,,,
2015,11,3,2,DL,3226,N869XX,ATL,JFK,806,807,1,22,829,154,158,125,977,1034,11,1040,1045,-5,0,0,,,,,,
2015,9,27,7,OO,3994,N922XX,PHX,ATL,2253,2258,5,13,2311,70,71,44,344,2355,14,3,9,-1,0,0,,,,,,
2015,12,28,1,MQ,7942,N884XX,MCO,LAS,1347,1351,4,13,1404,73,67,49,357,1453,5,1500,1458,3,0,0,,,,,,
2015,7,8,3,VX,6027,N445XX,ORD,MIA,1254,1244,-10,19,1303,332,343,308,2494,1811,16,1826,1827,-17,0,0,,,,,,
2015,11,11,3,WN,2790,N627XX,LAX,CLT,1639,1634,-5,25,1659,326,338,296,2397,2155,17,2205,2212,-9,0,0,,,,,,
2015,2,13,5,EV,7625,N147XX,MIA,CLT,2300,2256,-4,40,2336,170,197,143,1108,159,14,150,213,3,0,0,,,,,,
2015,10,26,1,F9,7055,N744XX,DEN,DFW,1733,1736,3,30,1806,316,352,305,2281,2311,17,2249,2328,11,0,0,,,,,,
2015,8,7,5,EV,4157,N379XX,CLT,LAX,2039,2033,-6,32,2105,166,178,141,1140,2326,5,2325,2331,-3,0,0,,,,,,
2015,10,3,6,WN,1690,N909XX,MIA,DFW,2221,2211,-10,26,2237,305,314,282,2199,319,6,326,325,-4,0,0,,,,,,
2015,4,20,1,OO,7280,N191XX,SFO,DFW,727,727,0,25,752,219,252,209,1583,1121,18,1106,1139,4,0,0,,,,,,
2015,1,2,5,VX,9414,N613XX,DFW,IAH,845,858,13,36,934,330,350,305,2385,1439,9,1415,1448,11,0,0,,,,,,
2015,7,1,3,DL,9991,N987XX,MCO,MIA,1620,1613,-7,12,1625,371,379,350,2727,2215,17,2231,2232,-2,0,0,,,,,,
2015,7,27,1,HA,1343,N963XX,DEN,CLT,1848,1838,-10,36,1914,173,198,154,1073,2148,8,2141,2156,-14,0,0,,,,,,
2015,4,15,3,US,7240,N813XX,PHX,MCO,1353,1351,-2,25,1416,123,142,103,796,1559,14,1556,1613,-1,0,0,,,,,,
2015,6,6,6,US,3871,N497XX,IAH,MCO,1555,1558,3,32,1630,307,339,296,2275,2126,11,2102,2137,1,0,0,,,,,,
2015,9,7,1,OO,1531,N113XX,CLT,IAH,526,526,0,15,541,151,161,133,960,754,13,757,807,0,0,0,,,,,,
2015,9,28,1,AA,234,N727XX,SFO,CLT,1735,1749,14,28,1817,215,228,186,1421,2123,14,2110,2137,19,0,0,,0.0,0.0,16.0,3.0,0.0
2015,11,25,3,DL,3187,N216XX,DFW,ORD,2152,2202,10,23,2225,321,339,308,2299,333,8,313,341,17,0,0,,0.0,0.0,0.0,17.0,0.0
2015,3,8,7,VX,2483,N467XX,MCO,SFO,1739,1751,12,37,1828,213,235,185,1509,2133,13,2112,2146,19,0,0,,0.0,0.0,16.0,3.0,0.0
2015,8,8,6,AA,356,N911XX,LAS,DFW,718,0,0,32,0,310,0,0,2268,0,8,2249,0,0,0,1,D,,,,,
2015,11,6,5,UA,4745,N544XX,SEA,DFW,1806,1800,-6,31,1831,186,205,167,1210,2118,7,2112,2125,-16,0,0,,,,,,
2015,7,28,2,WN,4345,N948XX,SEA,MCO,1645,1726,41,25,1751,338,348,309,2502,2300,14,2223,2314,50,0,0,,0.0,0.0,0.0,6.0,44.0
2015,4,4,6,WN,1455,N800XX,MCO,SFO,2229,2220,-9,33,2253,259,272,230,1810,243,9,248,252,-14,0,0,,,,,,
2015,4,7,2,NK,1837,N708XX,JFK,ATL,1815,1910,55,11,1921,227,228,210,1567,2251,7,2202,2258,62,0,0,,0.0,0.0,31.0,31.0,0.0
